Date,Control,Debit,Credit,Net
1/20/2025,K-817305,0.00,146.37,-146.37
1/20/2025,K-817305,0.00,146.37,-146.37
1/20/2025,K-817306,0.00,146.59,-146.59
1/20/2025,K-817306,0.00,146.58,-146.58
1/20/2025,K-817307,0.00,21.48,-21.48
1/20/2025,K-817308,0.00,615.55,-615.55
1/20/2025,K-817308,0.00,615.55,-615.55
1/20/2025,K-817309,0.00,"1,151.50","-1,151.50"
1/20/2025,K-817310,0.00,956.84,-956.84
1/20/2025,K-817310,0.00,956.84,-956.84
1/20/2025,K-817311,0.00,"3,600.00","-3,600.00"
1/20/2025,K-817312,0.00,217.21,-217.21
1/20/2025,K-817312,0.00,51.29,-51.29
1/20/2025,K-817312,0.00,32.37,-32.37
1/20/2025,K-817312,0.00,525.76,-525.76
1/20/2025,K-817313,0.00,873.55,-873.55
1/20/2025,K-817313,0.00,120.00,-120.00
1/20/2025,K-817314,0.00,"2,380.00","-2,380.00"
1/20/2025,K-817315,0.00,351.54,-351.54
1/20/2025,K-817316,0.00,"2,772.96","-2,772.96"
1/20/2025,K-817317,0.00,961.60,-961.60
1/20/2025,K-817318,0.00,492.50,-492.50
1/20/2025,K-817319,0.00,165.00,-165.00
1/20/2025,K-817319,0.00,93.00,-93.00
1/20/2025,K-817319,0.00,432.00,-432.00
1/20/2025,K-817320,0.00,91.47,-91.47
1/20/2025,K-817320,0.00,198.73,-198.73
1/20/2025,K-817320,0.00,198.74,-198.74
1/20/2025,K-817320,0.00,128.31,-128.31
1/20/2025,K-817320,0.00,31.75,-31.75
1/20/2025,J-427396,0.00,"3,748.81","-3,748.81"
1/21/2025,J-427610,0.00,20.44,-20.44
1/22/2025,K-817804,0.00,"1,049.54","-1,049.54"
1/22/2025,J-427667,0.00,321.66,-321.66
1/22/2025,J-427699,0.00,"105,145.12","-105,145.12"
1/23/2025,K-818036,0.00,253.25,-253.25
1/23/2025,J-427776,0.00,"12,885.87","-12,885.87"
1/23/2025,J-427810,0.00,999.80,-999.80
1/23/2025,J-427983,0.00,128.17,-128.17
1/24/2025,J-427985,0.00,298.84,-298.84
1/27/2025,K-818270,0.00,801.43,-801.43
1/27/2025,K-818271,0.00,61.46,-61.46
1/27/2025,K-818271,0.00,38.15,-38.15
1/27/2025,K-818271,0.00,151.00,-151.00
1/27/2025,K-818271,0.00,66.21,-66.21
1/27/2025,K-818271,0.00,57.24,-57.24
1/27/2025,K-818271,0.00,35.77,-35.77
1/27/2025,K-818271,0.00,138.08,-138.08
1/27/2025,K-818272,0.00,118.96,-118.96
1/27/2025,K-818272,0.00,118.96,-118.96
1/27/2025,K-818273,0.00,129.34,-129.34
1/27/2025,K-818273,0.00,129.34,-129.34
1/27/2025,K-818274,0.00,"4,150.00","-4,150.00"
1/27/2025,K-818275,0.00,28.02,-28.02
1/27/2025,K-818276,0.00,542.58,-542.58
1/27/2025,K-818277,0.00,743.04,-743.04
1/27/2025,K-818277,0.00,165.12,-165.12
1/27/2025,K-818277,0.00,176.84,-176.84
1/27/2025,K-818277,0.00,967.68,-967.68
1/27/2025,K-818277,0.00,208.32,-208.32
1/27/2025,K-818277,0.00,222.00,-222.00
1/27/2025,K-818278,0.00,104.51,-104.51
1/27/2025,K-818278,0.00,292.52,-292.52
1/27/2025,K-818278,0.00,77.64,-77.64
1/27/2025,K-818278,0.00,13.29,-13.29
1/27/2025,K-818278,0.00,109.09,-109.09
1/27/2025,K-818278,0.00,109.09,-109.09
1/27/2025,J-428103,"210,000.00",0.00,"210,000.00"
1/27/2025,J-428144,0.00,"17,468.00","-17,468.00"
1/27/2025,J-428154,0.00,431.35,-431.35
1/28/2025,J-428204,0.00,"13,104.50","-13,104.50"
1/28/2025,J-428297,0.00,"14,195.02","-14,195.02"
1/28/2025,J-428297,0.00,"1,340.93","-1,340.93"
1/28/2025,J-428297,0.00,"1,079.87","-1,079.87"
1/28/2025,J-428348,0.00,"53,750.96","-53,750.96"
1/29/2025,K-818621,21.48,0.00,21.48
1/29/2025,K-818623,0.00,64.69,-64.69
1/29/2025,K-818627,253.25,0.00,253.25
1/30/2025,J-428528,0.00,"4,042.68","-4,042.68"
1/30/2025,J-428577,0.00,"39,274.89","-39,274.89"
1/30/2025,J-428612,0.00,920.70,-920.70
1/30/2025,J-428652,0.00,"12,232.95","-12,232.95"
1/30/2025,J-428730,"24,084.26",0.00,"24,084.26"
1/31/2025,K-819567,0.00,138.08,-138.08
1/31/2025,K-819567,0.00,14.53,-14.53
1/31/2025,K-819567,0.00,37.05,-37.05
1/31/2025,K-819567,0.00,24.80,-24.80
1/31/2025,K-819567,0.00,108.41,-108.41
1/31/2025,K-819567,0.00,95.40,-95.40
1/31/2025,K-819567,0.00,5.71,-5.71
1/31/2025,K-819567,0.00,10.48,-10.48
1/31/2025,K-819567,0.00,26.50,-26.50
1/31/2025,K-819567,0.00,162.55,-162.55
1/31/2025,K-819567,0.00,84.99,-84.99
1/31/2025,K-819567,0.00,12.40,-12.40
1/31/2025,K-819567,0.00,22.25,-22.25
1/31/2025,K-819567,0.00,31.37,-31.37
1/31/2025,K-819567,0.00,199.24,-199.24
1/31/2025,K-819567,0.00,130.80,-130.80
1/31/2025,K-819567,0.00,187.87,-187.87
1/31/2025,K-819567,0.00,184.29,-184.29
1/31/2025,K-819567,0.00,29.49,-29.49
