Npostid    ,Transtype                     ,Postdate              ,Period   ,Billfrom              ,Billto                ,Market                                  ,Acct_no         ,Debit          ,Credit         ,Invoice                       ,Memo                                    ,Unit_id           ,Detail                                                                                                   ,Cosccurrid,Ncurrencyrate       ,Nbdebit        ,Nbcredit       ,Sysdate               
15968659,JENTRY                        ,2/20/2025 0:00,2025.02  ,1/1/1900 0:00,1/1/1900 0:00,AVE Florham Park                        , 012-0970       ,0,-2444.93,FF 2.25 Bank Fees             ,Florham Park 2.25 Fees                  ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/20/2025 0:00
15968659,JENTRY                        ,2/20/2025 0:00,2025.02  ,1/1/1900 0:00,1/1/1900 0:00,AVE Florham Park                        , 012-0970       ,0,-354.02,FF 2.25 Bank Fees             ,Florham Park 2.25 Fees                  ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/20/2025 0:00
15970367,DEPOSIT                       ,2/20/2025 0:00,2025.02  ,2/20/2025 0:00,2/20/2025 0:00,AVE Florham Park                        , 012-0970       ,8023.75,0,2.20 - Wire                   ,Deposit - Wire - CorpRelo               ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/20/2025 17:58
15970371,DEPOSIT                       ,2/20/2025 0:00,2025.02  ,2/20/2025 0:00,2/20/2025 0:00,AVE Florham Park                        , 012-0970       ,2206.53,0,2.20 - Wire                   ,Deposit - Wire - Givaudan               ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/20/2025 18:19
15970831,DEPOSIT                       ,2/21/2025 0:00,2025.02  ,2/21/2025 0:00,2/21/2025 0:00,AVE Florham Park                        , 012-0970       ,4133.23,0,2.21 - Check                  ,Deposit - Check                         ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/21/2025 12:36
15970833,DEPOSIT                       ,2/21/2025 0:00,2025.02  ,2/21/2025 0:00,2/21/2025 0:00,AVE Florham Park                        , 012-0970       ,0,-912.42,2.20 - CC                     ,Deposit - VI                            ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/21/2025 12:37
15971243,JENTRY                        ,2/21/2025 0:00,2025.02  ,1/1/1900 0:00,1/1/1900 0:00,AVE Florham Park                        , 012-0970       ,0,-60000,JY - Fund Oper 02/21/2025     ,Fund operating                          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/21/2025 0:00
15974722,DEPOSIT                       ,2/24/2025 0:00,2025.02  ,2/24/2025 0:00,2/24/2025 0:00,AVE Florham Park                        , 012-0970       ,1027.16,0,2.21 - CC                     ,Deposit - vi                            ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/24/2025 17:48
15976364,DEPOSIT                       ,2/25/2025 0:00,2025.02  ,2/25/2025 0:00,2/25/2025 0:00,AVE Florham Park                        , 012-0970       ,6923.43,0,2.25 - CC                     ,Deposit - amex                          ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/25/2025 11:51
15976380,DEPOSIT                       ,2/25/2025 0:00,2025.02  ,2/25/2025 0:00,2/25/2025 0:00,AVE Florham Park                        , 012-0970       ,2872.49,0,2.24 - CC                     ,Deposit - VI                            ,.NULL.            ,                                                                                                         ,          ,0,0,0,2/25/2025 11:51
