Date,Control,Debit,Credit,Net
1/1/2025,R-1567059,55.00,0.00,55.00
1/1/2025,R-1567059,0.00,55.00,-55.00
1/1/2025,R-1567060,20.00,0.00,20.00
1/1/2025,R-1567060,0.00,20.00,-20.00
1/1/2025,R-1567061,0.00,20.00,-20.00
1/1/2025,R-1567061,20.00,0.00,20.00
1/1/2025,R-1567062,75.00,0.00,75.00
1/1/2025,R-1567062,0.00,75.00,-75.00
1/1/2025,R-1567063,20.00,0.00,20.00
1/1/2025,R-1567063,0.00,20.00,-20.00
1/1/2025,R-1567564,827.50,0.00,827.50
1/1/2025,R-1567565,"1,700.00",0.00,"1,700.00"
1/1/2025,R-1567566,20.00,0.00,20.00
1/1/2025,R-1567566,5.00,0.00,5.00
1/1/2025,R-1567566,75.00,0.00,75.00
1/1/2025,R-1567566,"1,554.50",0.00,"1,554.50"
1/1/2025,R-1567566,55.00,0.00,55.00
1/1/2025,R-1567567,1.74,0.00,1.74
1/1/2025,R-1567567,29.81,0.00,29.81
1/1/2025,R-1567567,10.73,0.00,10.73
1/1/2025,R-1567567,68.39,0.00,68.39
1/1/2025,R-1567567,52.82,0.00,52.82
1/1/2025,R-1567567,40.00,0.00,40.00
1/1/2025,R-1567567,99.00,0.00,99.00
1/1/2025,R-1567567,"2,209.00",0.00,"2,209.00"
1/1/2025,R-1567567,75.00,0.00,75.00
1/1/2025,R-1567567,40.00,0.00,40.00
1/1/2025,R-1567567,5.00,0.00,5.00
1/1/2025,R-1567567,64.78,0.00,64.78
1/1/2025,R-1567567,3.73,0.00,3.73
1/1/2025,R-1567568,75.00,0.00,75.00
1/1/2025,R-1567568,"3,320.00",0.00,"3,320.00"
1/1/2025,R-1567569,"3,253.00",0.00,"3,253.00"
1/1/2025,R-1567569,110.00,0.00,110.00
1/1/2025,R-1567569,75.00,0.00,75.00
1/1/2025,R-1567570,"3,272.00",0.00,"3,272.00"
1/1/2025,R-1567570,10.73,0.00,10.73
1/1/2025,R-1567570,113.27,0.00,113.27
1/1/2025,R-1567570,30.90,0.00,30.90
1/1/2025,R-1567570,75.00,0.00,75.00
1/1/2025,R-1567570,1.74,0.00,1.74
1/1/2025,R-1567570,3.63,0.00,3.63
1/1/2025,R-1567570,24.54,0.00,24.54
1/1/2025,R-1567570,21.63,0.00,21.63
1/1/2025,R-1567570,5.00,0.00,5.00
1/1/2025,R-1567570,20.00,0.00,20.00
1/1/2025,R-1567571,40.00,0.00,40.00
1/1/2025,R-1567571,55.00,0.00,55.00
1/1/2025,R-1567571,"3,978.00",0.00,"3,978.00"
1/1/2025,R-1567572,15.12,0.00,15.12
1/1/2025,R-1567572,10.73,0.00,10.73
1/1/2025,R-1567572,46.66,0.00,46.66
1/1/2025,R-1567572,3.63,0.00,3.63
1/1/2025,R-1567572,16.64,0.00,16.64
1/1/2025,R-1567572,1.74,0.00,1.74
1/1/2025,R-1567572,5.00,0.00,5.00
1/1/2025,R-1567572,"2,034.00",0.00,"2,034.00"
1/1/2025,R-1567572,75.00,0.00,75.00
1/1/2025,R-1567573,75.00,0.00,75.00
1/1/2025,R-1567573,14.93,0.00,14.93
1/1/2025,R-1567573,16.40,0.00,16.40
1/1/2025,R-1567573,5.00,0.00,5.00
1/1/2025,R-1567573,29.39,0.00,29.39
1/1/2025,R-1567573,1.74,0.00,1.74
1/1/2025,R-1567573,"2,229.00",0.00,"2,229.00"
1/1/2025,R-1567573,10.73,0.00,10.73
1/1/2025,R-1567573,3.63,0.00,3.63
1/1/2025,R-1567573,20.00,0.00,20.00
1/1/2025,R-1567574,"2,296.00",0.00,"2,296.00"
1/1/2025,R-1567574,20.00,0.00,20.00
1/1/2025,R-1567574,75.00,0.00,75.00
1/1/2025,R-1567575,75.00,0.00,75.00
1/1/2025,R-1567575,1.74,0.00,1.74
1/1/2025,R-1567575,29.50,0.00,29.50
1/1/2025,R-1567575,5.00,0.00,5.00
1/1/2025,R-1567575,"2,349.00",0.00,"2,349.00"
1/1/2025,R-1567575,10.73,0.00,10.73
1/1/2025,R-1567575,25.72,0.00,25.72
1/1/2025,R-1567575,3.63,0.00,3.63
1/1/2025,R-1567575,47.02,0.00,47.02
1/1/2025,R-1567576,3.63,0.00,3.63
1/1/2025,R-1567576,"2,380.00",0.00,"2,380.00"
1/1/2025,R-1567576,2.98,0.00,2.98
1/1/2025,R-1567576,1.74,0.00,1.74
1/1/2025,R-1567576,5.00,0.00,5.00
1/1/2025,R-1567576,24.40,0.00,24.40
1/1/2025,R-1567576,2.95,0.00,2.95
1/1/2025,R-1567576,10.73,0.00,10.73
1/1/2025,R-1567576,75.00,0.00,75.00
1/1/2025,R-1567577,14.16,0.00,14.16
1/1/2025,R-1567577,100.00,0.00,100.00
1/1/2025,R-1567577,75.00,0.00,75.00
1/1/2025,R-1567577,13.07,0.00,13.07
1/1/2025,R-1567577,3.63,0.00,3.63
1/1/2025,R-1567577,1.74,0.00,1.74
1/1/2025,R-1567577,5.00,0.00,5.00
1/1/2025,R-1567577,"2,454.00",0.00,"2,454.00"
1/1/2025,R-1567577,61.09,0.00,61.09
1/1/2025,R-1567577,10.73,0.00,10.73
1/1/2025,R-1567578,53.23,0.00,53.23
1/1/2025,R-1567578,39.03,0.00,39.03
1/1/2025,R-1567578,53.42,0.00,53.42
1/1/2025,R-1567578,929.90,0.00,929.90
1/1/2025,R-1567578,"2,363.94",0.00,"2,363.94"
1/1/2025,R-1567578,1.74,0.00,1.74
1/1/2025,R-1567578,3.63,0.00,3.63
1/1/2025,R-1567578,15.48,0.00,15.48
1/1/2025,R-1567578,29.03,0.00,29.03
1/1/2025,R-1567578,63.13,0.00,63.13
1/1/2025,R-1567578,15.97,0.00,15.97
1/1/2025,R-1567578,10.73,0.00,10.73
1/1/2025,R-1567578,87.63,0.00,87.63
1/1/2025,R-1567578,21.77,0.00,21.77
1/1/2025,R-1567578,70.97,0.00,70.97
1/1/2025,R-1567578,5.00,0.00,5.00
1/1/2025,R-1567579,90.00,0.00,90.00
1/1/2025,R-1567579,5.00,0.00,5.00
1/1/2025,R-1567579,"3,089.00",0.00,"3,089.00"
1/1/2025,R-1567579,101.52,0.00,101.52
1/1/2025,R-1567579,3.63,0.00,3.63
1/1/2025,R-1567579,10.73,0.00,10.73
1/1/2025,R-1567579,40.47,0.00,40.47
1/1/2025,R-1567579,1.74,0.00,1.74
1/1/2025,R-1567579,75.00,0.00,75.00
1/1/2025,R-1567579,34.75,0.00,34.75
1/1/2025,R-1567580,"4,204.00",0.00,"4,204.00"
1/1/2025,R-1567580,17.28,0.00,17.28
1/1/2025,R-1567580,3.63,0.00,3.63
1/1/2025,R-1567580,90.00,0.00,90.00
1/1/2025,R-1567580,0.58,0.00,0.58
1/1/2025,R-1567580,1.74,0.00,1.74
1/1/2025,R-1567580,10.73,0.00,10.73
1/1/2025,R-1567580,0.47,0.00,0.47
1/1/2025,R-1567580,5.00,0.00,5.00
1/1/2025,R-1567581,"3,305.00",0.00,"3,305.00"
1/1/2025,R-1567581,10.42,0.00,10.42
1/1/2025,R-1567581,67.32,0.00,67.32
1/1/2025,R-1567581,10.73,0.00,10.73
1/1/2025,R-1567581,5.00,0.00,5.00
1/1/2025,R-1567581,1.74,0.00,1.74
1/1/2025,R-1567581,3.63,0.00,3.63
1/1/2025,R-1567581,11.21,0.00,11.21
1/1/2025,R-1567581,75.00,0.00,75.00
1/1/2025,R-1567582,75.00,0.00,75.00
1/1/2025,R-1567582,20.00,0.00,20.00
1/1/2025,R-1567582,5.00,0.00,5.00
1/1/2025,R-1567582,"2,400.00",0.00,"2,400.00"
1/1/2025,R-1567583,3.63,0.00,3.63
1/1/2025,R-1567583,"3,535.00",0.00,"3,535.00"
1/1/2025,R-1567583,33.30,0.00,33.30
1/1/2025,R-1567583,54.14,0.00,54.14
1/1/2025,R-1567583,38.70,0.00,38.70
1/1/2025,R-1567583,75.00,0.00,75.00
1/1/2025,R-1567583,55.00,0.00,55.00
1/1/2025,R-1567583,25.00,0.00,25.00
1/1/2025,R-1567583,26.65,0.00,26.65
1/1/2025,R-1567583,10.73,0.00,10.73
1/1/2025,R-1567583,5.00,0.00,5.00
1/1/2025,R-1567583,1.74,0.00,1.74
1/1/2025,R-1567584,10.73,0.00,10.73
1/1/2025,R-1567584,52.72,0.00,52.72
1/1/2025,R-1567584,1.74,0.00,1.74
1/1/2025,R-1567584,"3,411.00",0.00,"3,411.00"
1/1/2025,R-1567584,5.00,0.00,5.00
1/1/2025,R-1567584,21.36,0.00,21.36
1/1/2025,R-1567584,19.01,0.00,19.01
1/1/2025,R-1567584,75.00,0.00,75.00
1/1/2025,R-1567584,3.63,0.00,3.63
1/1/2025,R-1567585,18.88,0.00,18.88
1/1/2025,R-1567585,75.00,0.00,75.00
1/1/2025,R-1567585,"3,237.00",0.00,"3,237.00"
1/1/2025,R-1567585,26.36,0.00,26.36
1/1/2025,R-1567585,3.63,0.00,3.63
1/1/2025,R-1567585,40.00,0.00,40.00
1/1/2025,R-1567585,10.73,0.00,10.73
1/1/2025,R-1567585,16.97,0.00,16.97
1/1/2025,R-1567585,90.00,0.00,90.00
1/1/2025,R-1567585,5.00,0.00,5.00
1/1/2025,R-1567585,1.74,0.00,1.74
1/1/2025,R-1567586,10.73,0.00,10.73
1/1/2025,R-1567586,40.07,0.00,40.07
1/1/2025,R-1567586,"3,460.00",0.00,"3,460.00"
1/1/2025,R-1567586,1.74,0.00,1.74
1/1/2025,R-1567586,3.63,0.00,3.63
1/1/2025,R-1567586,33.88,0.00,33.88
1/1/2025,R-1567586,75.00,0.00,75.00
1/1/2025,R-1567586,45.00,0.00,45.00
1/1/2025,R-1567586,39.41,0.00,39.41
1/1/2025,R-1567586,5.00,0.00,5.00
1/1/2025,R-1567587,75.00,0.00,75.00
